5141_VC2006_MCRBS_CLSTR1761,-,['WP_000017256.1']
1646_VCA1017_ODB_CLSTR879,-,['WP_000017896.1']
500_VC1833_ODB_CLSTR337,-,['WP_000018291.1']
5922_VCA1004_MCRBS_CLSTR2129,-,['WP_000018313.1']
1621_VC1731_ODB_CLSTR871,+,['WP_000018503.1']
4548_VC0677_MCRBS_CLSTR1522,+,['WP_000018876.1']
4078_VC2450_ODB_CLSTR1381,-,['WP_000019240.1']
2168_VC2516_ODB_CLSTR1060,-,"['WP_000019311.1', 'WP_000265516.1', 'WP_001187994.1', 'WP_001887761.1', 'WP_000083183.1']"
2167_VC2516_ODB_CLSTR1060,-,"['WP_000019311.1', 'WP_000265516.1']"
1259_VC0424_ODB_CLSTR733,+,['WP_000019331.1']
621_VCA0282_ODB_CLSTR409,+,['WP_000019370.1']
367_VCA0269_ODB_CLSTR240,+,['WP_000020017.1']
2077_VC0835_ODB_CLSTR749,+,['WP_000020697.1']
4243_VC1872_ODB_CLSTR482,+,"['WP_000021516.1', 'WP_000046688.1', 'WP_000208357.1']"
734_VC1872_ODB_CLSTR482,+,"['WP_000021516.1', 'WP_000046688.1']"
4892_VC1458_MCRBS_CLSTR1648,-,"['WP_000021616.1', 'WP_000979342.1', 'WP_001268534.1']"
1298_VC2261_ODB_CLSTR179,+,"['WP_000023305.1', 'WP_001146857.1']"
229_VC2261_ODB_CLSTR179,+,['WP_000023305.1']
5889_VCA0935_MCRBS_CLSTR2112,+,['WP_000024171.1']
3916_VCA0043_ODB_CLSTR1365,+,['WP_000024343.1']
1155_VC0162_ODB_CLSTR675,+,['WP_000024919.1']
4963_VC1633_MCRBS_CLSTR349,-,"['WP_000024969.1', 'WP_001276805.1']"
4190_VC2084_ODB_CLSTR37,-,['WP_000025475.1']
5464_VCA0004_MCRBS_CLSTR1864,+,['WP_000026548.1']
779_VCA0134_ODB_CLSTR508,+,['WP_000027380.1']
4727_VC1088_MCRBS_CLSTR1574,-,"['WP_000027790.1', 'WP_001268833.1']"
2040_VC1576_ODB_CLSTR1022,-,['WP_000028411.1']
50_VCA0777_ODB_CLSTR48,+,"['WP_000028726.1', 'WP_000900842.1']"
2504_VC0327_ODB_CLSTR704,+,['WP_000028973.1']
5452_VC2743_MCRBS_CLSTR1859,-,['WP_000029298.1']
4883_VC1433_MCRBS_CLSTR876,-,"['WP_000029912.1', 'WP_000622582.1']"
1643_VC1433_ODB_CLSTR876,-,['WP_000029912.1']
1039_VC2716_ODB_CLSTR641,+,['WP_000030087.1']
4043_VC2492_ODB_CLSTR1375,+,"['WP_000030317.1', 'WP_000012771.1']"
2776_VC2492_ODB_CLSTR111,+,"['WP_000030317.1', 'WP_000132138.1']"
3926_VCA0712_ODB_CLSTR1367,-,['WP_000030361.1']
5502_VCA0107_MCRBS_CLSTR103,+,"['WP_000031391.1', 'WP_000108140.1', 'WP_000221000.1', 'WP_000189792.1', 'WP_000510181.1', 'WP_001089704.1', 'WP_001045311.1', 'WP_000458007.1', 'WP_000083409.1', 'WP_000619136.1', 'WP_000084793.1', 'WP_001223388.1', 'WP_000426093.1', 'WP_001882971.1']"
1359_VC2412_ODB_CLSTR770,-,['WP_000031529.1']
2197_VC0362_ODB_CLSTR1079,+,['WP_000031644.1']
2196_VC0321_ODB_CLSTR1078,+,['WP_000031647.1']
2816_VC2511_ODB_CLSTR1257,+,"['WP_000032502.1', 'WP_000013853.1']"
4498_VC0556_MCRBS_CLSTR1000,+,"['WP_000032608.1', 'WP_001130227.1']"
1980_VC0556_ODB_CLSTR1001,+,['WP_000032608.1']
3066_VC2022_ODB_CLSTR9,-,"['WP_000032624.1', 'WP_001918744.1']"
60_VC0910_ODB_CLSTR58,+,"['WP_000034055.1', 'WP_000099341.1']"
225_VC0910_ODB_CLSTR58,+,['WP_000034055.1']
127_VCA0554_ODB_CLSTR112,-,['WP_000034191.1']
2529_VC0478_ODB_CLSTR33,+,"['WP_000034368.1', 'WP_000111267.1', 'WP_000946626.1']"
2545_VC0478_ODB_CLSTR1026,+,"['WP_000034368.1', 'WP_000111267.1']"
2070_VC0478_ODB_CLSTR1026,+,['WP_000034368.1']
5804_VCA0764_MCRBS_CLSTR2060,+,"['WP_000034744.1', 'WP_000347561.1']"
1276_VC0441_ODB_CLSTR576,-,"['WP_000035032.1', 'WP_000383338.1', 'WP_001243262.1', 'WP_000095773.1', 'WP_000780524.1']"
2498_VC0441_ODB_CLSTR576,-,"['WP_000035032.1', 'WP_000383338.1', 'WP_001243262.1', 'WP_000095773.1']"
1275_VC0441_ODB_CLSTR742,-,"['WP_000035032.1', 'WP_000383338.1', 'WP_001243262.1']"
1274_VC0441_ODB_CLSTR576,-,"['WP_000035032.1', 'WP_000383338.1']"
899_VC0441_ODB_CLSTR576,-,['WP_000035032.1']
5817_VCA0785_MCRBS_CLSTR2069,+,['WP_000035288.1']
5034_VC1795_MCRBS_CLSTR1714,-,['WP_000035502.1']
5712_VCA0547_MCRBS_CLSTR2010,+,['WP_000035884.1']
327_VC2447_ODB_CLSTR221,-,"['WP_000036741.1', 'WP_000210846.1']"
329_VC2447_ODB_CLSTR222,-,['WP_000036741.1']
184_VC0968_ODB_CLSTR163,-,['WP_000036918.1']
5243_VC2277_MCRBS_CLSTR24,-,"['WP_000037415.1', 'WP_000890416.1']"
417_VC2277_ODB_CLSTR278,-,['WP_000037415.1']
5042_VC1814_MCRBS_CLSTR1335,+,"['WP_000037642.1', 'WP_001028258.1']"
3758_VC1814_ODB_CLSTR1335,+,['WP_000037642.1']
1478_VC0962_ODB_CLSTR813,-,['WP_000038553.1']
5294_VC2388_MCRBS_CLSTR1813,+,['WP_000039390.1']
4804_VC1247_MCRBS_CLSTR1603,-,['WP_000041073.1']
307_VC1098_ODB_CLSTR216,-,"['WP_000041130.1', 'WP_000091710.1']"
4732_VC1098_MCRBS_CLSTR216,-,['WP_000041130.1']
644_VC2119_ODB_CLSTR431,+,['WP_000041521.1']
531_VC1143_ODB_CLSTR357,+,"['WP_000041728.1', 'WP_000932415.1']"
4474_VC0494_MCRBS_CLSTR767,+,"['WP_000042053.1', 'WP_000149629.1', 'WP_001883316.1']"
1355_VC0494_ODB_CLSTR767,+,['WP_000042053.1']
4476_VC0502_MCRBS_CLSTR1499,-,['WP_000042161.1']
84_VC0616_ODB_CLSTR78,-,['WP_000042558.1']
265_VC0943_ODB_CLSTR210,-,['WP_000042591.1']
2208_VC2623_ODB_CLSTR145,-,"['WP_000042615.1', 'WP_000835873.1', 'WP_000651337.1', 'WP_000744680.1', 'WP_000050195.1', 'WP_000439805.1', 'WP_000818616.1']"
2207_VC2623_ODB_CLSTR1082,-,"['WP_000042615.1', 'WP_000835873.1', 'WP_000651337.1', 'WP_000744680.1', 'WP_000050195.1']"
2206_VC2623_ODB_CLSTR1083,-,"['WP_000042615.1', 'WP_000835873.1', 'WP_000651337.1', 'WP_000744680.1']"
2205_VC2623_ODB_CLSTR1082,-,"['WP_000042615.1', 'WP_000835873.1', 'WP_000651337.1']"
2204_VC2623_ODB_CLSTR1082,-,['WP_000042615.1']
1405_VC1063_ODB_CLSTR794,-,['WP_000042747.1']
3727_VC1940_ODB_CLSTR1330,-,['WP_000042817.1']
4350_VC0224_MCRBS_CLSTR1441,-,['WP_000042983.1']
490_VC2091_ODB_CLSTR23,-,"['WP_000043021.1', 'WP_000238620.1', 'WP_000155078.1', 'WP_000772966.1', 'WP_000551472.1', 'WP_000151221.1', 'WP_001048578.1', 'WP_000025475.1']"
321_VC2091_ODB_CLSTR220,-,"['WP_000043021.1', 'WP_000238620.1', 'WP_000155078.1', 'WP_000772966.1']"
2850_VC2091_ODB_CLSTR220,-,"['WP_000043021.1', 'WP_000238620.1']"
5368_VC2558_MCRBS_CLSTR1008,-,"['WP_000043054.1', 'WP_001057929.1', 'WP_001883909.1', 'WP_000046002.1']"
2000_VC2558_ODB_CLSTR1008,-,"['WP_000043054.1', 'WP_001057929.1', 'WP_001883909.1']"
4527_VC0636_MCRBS_CLSTR1515,+,['WP_000043220.1']
5517_VCA0160_MCRBS_CLSTR497,-,"['WP_000043405.1', 'WP_000427054.1']"
765_VCA0160_ODB_CLSTR497,-,['WP_000043405.1']
2495_VC1135_ODB_CLSTR512,+,"['WP_000043567.1', 'WP_161417897.1', 'WP_000586511.1', 'WP_000880146.1', 'WP_001067502.1']"
5680_VCA0483_MCRBS_CLSTR1996,+,['WP_000043871.1']
5_VC0856_ODB_CLSTR6,+,"['WP_000043914.1', 'WP_000516147.1']"
372_VC0856_ODB_CLSTR6,+,['WP_000043914.1']
4988_VC1676_MCRBS_CLSTR1250,-,"['WP_000043976.1', 'WP_000093876.1', 'WP_000511045.1']"
2782_VC1676_ODB_CLSTR1250,-,"['WP_000043976.1', 'WP_000093876.1']"
3783_VC1676_ODB_CLSTR1250,-,['WP_000043976.1']
1401_VC2308_ODB_CLSTR790,+,"['WP_000044231.1', 'WP_001028571.1']"
2029_VC2312_ODB_CLSTR1014,-,['WP_000044381.1']
4998_VC1698_MCRBS_CLSTR1698,+,['WP_000044451.1']
357_VC2019_ODB_CLSTR234,-,['WP_000044695.1']
1133_VC0007_ODB_CLSTR196,-,"['WP_000044781.1', 'WP_001884349.1', 'WP_001886301.1', 'WP_000378235.1']"
2505_VC0007_ODB_CLSTR196,-,"['WP_000044781.1', 'WP_001884349.1']"
247_VC0007_ODB_CLSTR196,-,['WP_000044781.1']
375_VC2390_ODB_CLSTR244,-,"['WP_000045131.1', 'WP_001126441.1']"
5950_VCA1062_MCRBS_CLSTR272,-,"['WP_000045944.1', 'WP_001086685.1']"
1484_VCA1062_ODB_CLSTR815,-,['WP_000045944.1']
5119_VC1963_MCRBS_CLSTR1750,-,['WP_000046692.1']
5624_VCA0379_MCRBS_CLSTR1956,+,['WP_000046953.1']
4327_VC0182_MCRBS_CLSTR1432,-,"['WP_000047043.1', 'WP_000188056.1', 'WP_000222725.1', 'WP_000259157.1']"
2229_VC0080_ODB_CLSTR1094,+,['WP_000047956.1']
2373_VCA0248_ODB_CLSTR1163,+,['WP_000049013.1']
2634_VC2642_ODB_CLSTR1210,-,"['WP_000049171.1', 'WP_001240133.1']"
5400_VC2642_MCRBS_CLSTR1301,-,"['WP_000049171.1', 'WP_001281558.1', 'WP_000921321.1']"
3682_VCA0401_ODB_CLSTR1320,+,['WP_000049417.1']
3681_VCA0347_ODB_CLSTR1319,+,['WP_000049420.1']
901_VC0902_ODB_CLSTR578,-,['WP_000049898.1']
1941_VC1190_ODB_CLSTR975,-,['WP_000050052.1']
2280_VCA1068_ODB_CLSTR1123,-,['WP_000050915.1']
1880_VC2039_ODB_CLSTR959,-,['WP_000051797.1']
148_VC2352_ODB_CLSTR129,-,['WP_000051831.1']
2737_VC2199_ODB_CLSTR229,-,"['WP_000051920.1', 'WP_000929365.1', 'WP_000122825.1']"
5619_VCA0366_MCRBS_CLSTR1951,+,['WP_000051985.1']
4648_VC0898_MCRBS_CLSTR1551,-,['WP_000052130.1']
137_VC1878_ODB_CLSTR122,-,['WP_000052153.1']
1042_VCA0904_ODB_CLSTR644,-,['WP_000052704.1']
703_VC0090_ODB_CLSTR458,-,['WP_000052731.1']
692_VC1347_ODB_CLSTR453,+,['WP_000052757.1']
273_VC1343_ODB_CLSTR213,-,['WP_000052806.1']
444_VC0742_ODB_CLSTR296,+,"['WP_000053137.1', 'WP_001880549.1', 'WP_000486403.1']"
4106_VC0742_ODB_CLSTR231,+,['WP_000053137.1']
4889_VC1452_MCRBS_CLSTR1645,-,['WP_000053920.1']
2260_VC0217_ODB_CLSTR1110,+,['WP_000053959.1']
600_VC2180_ODB_CLSTR393,-,"['WP_000054219.1', 'WP_000647701.1', 'WP_000117270.1', 'WP_000272895.1']"
2546_VC2180_ODB_CLSTR393,-,"['WP_000054219.1', 'WP_000647701.1', 'WP_000117270.1']"
2547_VC2180_ODB_CLSTR1198,-,['WP_000054219.1']
1606_VC1961_ODB_CLSTR856,+,"['WP_000054416.1', 'WP_000086775.1', 'WP_000042146.1']"
4321_VC0170_MCRBS_CLSTR74,+,"['WP_000054464.1', 'WP_000855615.1', 'WP_000490820.1', 'WP_001277181.1']"
80_VC0170_ODB_CLSTR74,+,['WP_000054464.1']
1031_VCA0612_ODB_CLSTR634,+,['WP_000054763.1']
5781_VCA0715_MCRBS_CLSTR2046,+,"['WP_000054773.1', 'WP_001118400.1']"
4790_VC1224_MCRBS_CLSTR1598,-,['WP_000054941.1']
2155_VC0646_ODB_CLSTR1052,+,['WP_000055654.1']
409_VC2244_ODB_CLSTR270,-,['WP_000055726.1']
2379_VC2545_ODB_CLSTR1169,+,['WP_000056163.1']
161_VC2647_ODB_CLSTR142,+,['WP_000056565.1']
5634_VCA0396_MCRBS_CLSTR1962,+,"['WP_000056616.1', 'WP_001081310.1']"
4437_VC0430_MCRBS_CLSTR1484,-,['WP_000056631.1']
5312_VC2438_MCRBS_CLSTR1816,-,['WP_000056837.1']
5346_VC2504_MCRBS_CLSTR1829,-,['WP_000056892.1']
3664_VC1509_ODB_CLSTR1318,-,['WP_000056950.1']
4873_VC1413_MCRBS_CLSTR1635,-,['WP_000057937.1']
5411_VC2668_MCRBS_CLSTR618,-,"['WP_000058339.1', 'WP_001133286.1']"
976_VC2668_ODB_CLSTR618,-,['WP_000058339.1']
4818_VC1270_MCRBS_CLSTR1611,+,['WP_000058362.1']
3912_VC1336_ODB_CLSTR1364,+,['WP_000059217.1']
2826_VC2349_ODB_CLSTR1259,-,"['WP_000059246.1', 'WP_000816445.1']"
5033_VC1794_MCRBS_CLSTR1713,-,['WP_000059473.1']
3545_VCA0705_ODB_CLSTR1307,-,"['WP_000060357.1', 'WP_000843516.1']"
4279_VC0070_MCRBS_CLSTR1409,+,['WP_000060371.1']
770_VCA0090_ODB_CLSTR501,-,['WP_000060640.1']
2719_VC1524_ODB_CLSTR1232,+,"['WP_000061034.1', 'WP_000152997.1', 'WP_000633519.1', 'WP_000561940.1']"
3078_VC1524_ODB_CLSTR1232,+,"['WP_000061034.1', 'WP_000152997.1']"
1510_VC1023_ODB_CLSTR820,-,['WP_000061070.1']
3871_VC0562_ODB_CLSTR997,+,['WP_000061906.1']
5515_VCA0152_MCRBS_CLSTR133,-,"['WP_000062160.1', 'WP_000370509.1', 'WP_000639705.1', 'WP_000125097.1', 'WP_000398830.1', 'WP_000500258.1']"
4051_VC2582_ODB_CLSTR1075,-,"['WP_000062614.1', 'WP_000091929.1', 'WP_000358092.1', 'WP_001040926.1', 'WP_000201159.1', 'WP_000926115.1']"
4233_VC0854_ODB_CLSTR6,+,"['WP_000064038.1', 'WP_000516147.1', 'WP_000043914.1']"
1976_VC0854_ODB_CLSTR59,+,['WP_000064038.1']
2788_VC2598_ODB_CLSTR873,-,"['WP_000064143.1', 'WP_001285863.1']"
2120_VC2210_ODB_CLSTR1044,-,['WP_000064348.1']
5473_VCA0023_MCRBS_CLSTR1868,-,['WP_000064955.1']
693_VC1010_ODB_CLSTR454,-,['WP_000064966.1']
574_VC2020_ODB_CLSTR234,-,"['WP_000065130.1', 'WP_000044695.1']"
1974_VC0564_ODB_CLSTR997,+,"['WP_000065250.1', 'WP_000270017.1', 'WP_000061906.1', 'WP_000256449.1']"
2586_VC0564_ODB_CLSTR997,+,['WP_000065250.1']
2891_VC0961_ODB_CLSTR376,-,"['WP_000066204.1', 'WP_000021208.1']"
564_VC0961_ODB_CLSTR376,-,['WP_000066204.1']
5741_VCA0623_MCRBS_CLSTR235,+,"['WP_000066347.1', 'WP_001080531.1']"
360_VCA0623_ODB_CLSTR235,+,['WP_000066347.1']
3068_VC1315_ODB_CLSTR1239,+,"['WP_000067024.1', 'WP_000413402.1']"
4276_VC0067_MCRBS_CLSTR1408,-,['WP_000067249.1']
691_VC0988_ODB_CLSTR452,-,['WP_000067586.1']
5740_VCA0619_MCRBS_CLSTR552,+,"['WP_000067608.1', 'WP_000203698.1']"
504_VC1024_ODB_CLSTR241,+,"['WP_000068572.1', 'WP_000509705.1', 'WP_000080915.1', 'WP_000598590.1', 'WP_000350081.1']"
2270_VC0015_ODB_CLSTR1117,+,['WP_000070020.1']
1040_VC2720_ODB_CLSTR642,+,['WP_000070178.1']
1706_VC0188_ODB_CLSTR894,+,['WP_000070205.1']
4992_VC1686_MCRBS_CLSTR1695,-,['WP_000070233.1']
4951_VC1602_MCRBS_CLSTR319,-,"['WP_000070389.1', 'WP_001198755.1', 'WP_000857631.1', 'WP_000262309.1']"
154_VC0863_ODB_CLSTR135,+,['WP_000070418.1']
938_VC2478_ODB_CLSTR591,+,['WP_000070442.1']
169_VC1320_ODB_CLSTR148,-,['WP_000070850.1']
5880_VCA0919_MCRBS_CLSTR2106,+,['WP_000070927.1']
1081_VCA0469_ODB_CLSTR655,+,['WP_000071008.1']
3178_VC0061_ODB_CLSTR1145,+,"['WP_000071109.1', 'WP_000251961.1', 'WP_000954515.1']"
3820_VC0061_ODB_CLSTR1145,+,['WP_000071109.1']
2537_VC0683_ODB_CLSTR242,+,"['WP_000071968.1', 'WP_001068088.1', 'WP_001883831.1']"
373_VC0683_ODB_CLSTR242,+,['WP_000071968.1']
5511_VCA0146_MCRBS_CLSTR1361,+,"['WP_000072018.1', 'WP_000220549.1']"
3905_VCA0146_ODB_CLSTR1361,+,['WP_000072018.1']
2039_VC0040_ODB_CLSTR1021,+,['WP_000072082.1']
5548_VCA0235_MCRBS_CLSTR1907,+,"['WP_000072096.1', 'WP_001161774.1']"
4940_VC1575_MCRBS_CLSTR1022,-,"['WP_000072360.1', 'WP_000028411.1']"
5503_VCA0121_MCRBS_CLSTR1882,+,['WP_000073077.1']
1528_VC1182_ODB_CLSTR833,-,['WP_000073137.1']
2425_VCA1012_ODB_CLSTR1179,-,"['WP_000073203.1', 'WP_000083620.1']"
4884_VC1435_MCRBS_CLSTR1231,-,"['WP_000074301.1', 'WP_000445305.1', 'WP_000361687.1', 'WP_000240593.1', 'WP_000206863.1', 'WP_000351115.1', 'WP_000097777.1', 'WP_000076726.1']"
5849_VCA0843_MCRBS_CLSTR2088,+,['WP_000074419.1']
970_VCA0546_ODB_CLSTR615,+,['WP_000074622.1']
4514_VC0601_MCRBS_CLSTR259,+,"['WP_000074767.1', 'WP_000197283.1']"
395_VC0601_ODB_CLSTR259,+,['WP_000074767.1']
103_VCA0977_ODB_CLSTR96,+,['WP_000074814.1']
4781_VC1206_MCRBS_CLSTR1593,-,['WP_000075034.1']
2306_VC0304_ODB_CLSTR1127,-,"['WP_000076046.1', 'WP_000750771.1']"
1573_VC0036_ODB_CLSTR847,-,['WP_000076153.1']
843_VC0213_ODB_CLSTR542,-,['WP_000076197.1']
645_VC2222_ODB_CLSTR432,+,['WP_000076436.1']
2718_VC1442_ODB_CLSTR1231,-,"['WP_000076726.1', 'WP_000097777.1', 'WP_000351115.1', 'WP_000206863.1']"
749_VC1501_ODB_CLSTR487,+,['WP_000076860.1']
2881_VC1178_ODB_CLSTR399,+,"['WP_000077260.1', 'WP_001217214.1']"
613_VC1178_ODB_CLSTR402,+,['WP_000077260.1']
222_VCA0621_ODB_CLSTR174,-,['WP_000078373.1']
478_VCA0166_ODB_CLSTR321,+,['WP_000078819.1']
1118_VC0222_ODB_CLSTR664,-,['WP_000078888.1']
5436_VC2711_MCRBS_CLSTR1855,+,['WP_000080593.1']
1463_VCA0607_ODB_CLSTR808,+,['WP_000080746.1']
2578_VC1026_ODB_CLSTR241,+,"['WP_000080915.1', 'WP_000509705.1']"
2982_VC1026_ODB_CLSTR340,+,"['WP_000080915.1', 'WP_000598590.1', 'WP_000350081.1']"
2859_VC1026_ODB_CLSTR340,+,"['WP_000080915.1', 'WP_000598590.1']"
2972_VC2434_ODB_CLSTR386,-,"['WP_000080926.1', 'WP_000868845.1', 'WP_000126999.1']"
2814_VC2434_ODB_CLSTR1256,-,"['WP_000080926.1', 'WP_000868845.1']"
67_VC2377_ODB_CLSTR65,+,"['WP_000081714.1', 'WP_001240188.1']"
3695_VC2377_ODB_CLSTR65,+,['WP_000081714.1']
355_VC2184_ODB_CLSTR232,+,['WP_000081944.1']
3191_VCA0677_ODB_CLSTR1230,+,"['WP_000082209.1', 'WP_000784576.1', 'WP_000744358.1']"
20_VC2223_ODB_CLSTR21,+,['WP_000082232.1']
182_VC1597_ODB_CLSTR161,-,['WP_000082298.1']
5180_VC2107_MCRBS_CLSTR1089,-,"['WP_000082625.1', 'WP_000697483.1']"
2220_VC2107_ODB_CLSTR1089,-,['WP_000082625.1']
1247_VC0351_ODB_CLSTR722,+,['WP_000084201.1']
110_VCA0117_ODB_CLSTR103,+,['WP_000084793.1']
568_VC1259_ODB_CLSTR380,+,['WP_000085170.1']
4464_VC0475_MCRBS_CLSTR1493,+,['WP_000086048.1']
3440_VC0412_ODB_CLSTR1233,+,"['WP_000086312.1', 'WP_001144509.1', 'WP_000691266.1']"
2322_VC2749_ODB_CLSTR1133,+,"['WP_000086389.1', 'WP_001918943.1']"
5648_VCA0422_MCRBS_CLSTR1973,+,"['WP_000086649.1', 'WP_000869997.1']"
4223_VC1960_ODB_CLSTR856,+,"['WP_000086775.1', 'WP_000054416.1']"
4907_VC1485_MCRBS_CLSTR83,-,"['WP_000087036.1', 'WP_001174034.1', 'WP_000631987.1', 'WP_001077794.1']"
5582_VCA0309_MCRBS_CLSTR1927,+,['WP_000087610.1']
968_VCA0993_ODB_CLSTR613,+,['WP_000088622.1']
18_VC1284_ODB_CLSTR19,+,"['WP_000089165.1', 'WP_000434480.1', 'WP_000780651.1', 'WP_000722179.1']"
2818_VC1284_ODB_CLSTR915,+,"['WP_000089165.1', 'WP_000864259.1']"
162_VC1284_ODB_CLSTR19,+,['WP_000089165.1']
528_VC2452_ODB_CLSTR354,-,['WP_000090462.1']
2995_VC0368_ODB_CLSTR723,+,"['WP_000090471.1', 'WP_000184782.1', 'WP_001216668.1']"
2925_VC0368_ODB_CLSTR723,+,"['WP_000090471.1', 'WP_000184782.1']"
5718_VCA0558_MCRBS_CLSTR2015,+,['WP_000090763.1']
4570_VC0719_MCRBS_CLSTR147,+,"['WP_000091117.1', 'WP_000230247.1', 'WP_000952782.1']"
442_VC0719_ODB_CLSTR147,+,"['WP_000091117.1', 'WP_000230247.1']"
168_VC0719_ODB_CLSTR147,+,['WP_000091117.1']
625_VC0896_ODB_CLSTR412,+,['WP_000091135.1']
829_VC1097_ODB_CLSTR216,-,['WP_000091710.1']
4460_VC0466_MCRBS_CLSTR594,-,"['WP_000091869.1', 'WP_001054768.1', 'WP_000593313.1', 'WP_001222501.1']"
5514_VCA0151_MCRBS_CLSTR1887,+,['WP_000092015.1']
1079_VCA0656_ODB_CLSTR653,-,['WP_000092343.1']
2867_VCA0886_ODB_CLSTR1268,-,"['WP_000092856.1', 'WP_000692622.1']"
5944_VCA1053_MCRBS_CLSTR2142,-,['WP_000093074.1']
3512_VC1736_ODB_CLSTR832,+,"['WP_000093315.1', 'WP_001029434.1']"
5643_VCA0413_MCRBS_CLSTR1969,+,"['WP_000093410.1', 'WP_000870841.1', 'WP_001071514.1']"
5621_VCA0374_MCRBS_CLSTR1953,+,['WP_000093800.1']
1619_VCA0941_ODB_CLSTR869,+,['WP_000094384.1']
2561_VC1916_ODB_CLSTR362,-,"['WP_000094752.1', 'WP_000140318.1']"
539_VC1916_ODB_CLSTR362,-,['WP_000094752.1']
1030_VC0058_ODB_CLSTR633,-,['WP_000095100.1']
835_VC2110_ODB_CLSTR536,+,['WP_000095131.1']
2497_VC0444_ODB_CLSTR743,-,"['WP_000095773.1', 'WP_000780524.1', 'WP_001277601.1']"
4446_VC0444_MCRBS_CLSTR1485,-,"['WP_000095773.1', 'WP_000780524.1']"
1940_VC2721_ODB_CLSTR974,+,['WP_000095812.1']
5733_VCA0593_MCRBS_CLSTR2023,-,['WP_000096571.1']
147_VC1953_ODB_CLSTR128,-,['WP_000096607.1']
5014_VC1740_MCRBS_CLSTR761,-,"['WP_000096995.1', 'WP_001208101.1']"
1323_VC1740_ODB_CLSTR761,-,['WP_000096995.1']
2211_VC1725_ODB_CLSTR1085,-,['WP_000097999.1']
4862_VC1373_MCRBS_CLSTR1269,-,"['WP_000098113.1', 'WP_000425792.1', 'WP_001017942.1']"
